Category,#,Task,Description,Status,Notes
Infrastructure – Development,61,Write Bicep for Azure OpenAI,S0 SKU; gpt-4o + text-embedding-3-large deployments,Done,infra/main.bicep – openAI resource
Infrastructure – Development,62,Write Bicep for App Service Plan,P1v3 PremiumV3 Linux,Done,infra/main.bicep – appServicePlan resource
Infrastructure – Development,63,Write Bicep for Autoscale,1–3 instances; CPU >70% scale-out,Done,infra/main.bicep – autoscale resource
Infrastructure – Development,64,Write Bicep for Function App,Python 3.13; HTTPS only; KV secret references,Done,infra/main.bicep – functionApp resource
Infrastructure – Development,65,Write Bicep for API App Service,Python 3.12; System Assigned Managed Identity; HTTPS only,Done,infra/main.bicep – apiApp resource
Infrastructure – Development,66,Write Bicep for Static Web App,Standard tier for SPA hosting,Done,infra/main.bicep – staticWebApp resource
Infrastructure – Development,67,Add RBAC role assignments in Bicep,4 assignments: Deployer→KV; FunctionApp→KV; APIApp→OpenAI; APIApp→Search,Done,infra/main.bicep – roleAssignment resources
Infrastructure – Development,68,Write deployment PowerShell script,deploy.ps1 creates RG deploys Bicep writes .env files,Done,scripts/deploy.ps1
Search Pipeline – Design,69,Design AI Search index schema,Fields: chunk_id parent_id DocumentName DocumentUrl Prefix ContentType content text_vector,Done,infra/search-index.json
Search Pipeline – Design,70,Design chunking strategy,SplitSkill 2000 chars 200 overlap; chunk_id as dedup key,Done,infra/search-indexer.json skillset definition
Search Pipeline – Design,71,Design embedding strategy,Azure OpenAI text-embedding-3-large 3072 dims via EmbeddingSkill + vectorizer,Done,infra/search-indexer.json + search-index.json vectorizer
Search Pipeline – Design,72,Design indexer schedule,PT1H (hourly) to keep index in sync with Blob Storage,Done,infra/search-indexer.json schedule
Search Pipeline – Development,73,Write search index JSON,Full index definition with vector profile HNSW cosine,Done,infra/search-index.json
Search Pipeline – Development,74,Write search indexer JSON,Data source + skillset + indexer with field mappings,Done,infra/search-indexer.json
Search Pipeline – Development,75,Write create-indexer.py script,Python script to POST index datasource skillset indexer via REST API,Done,scripts/create-indexer.py
Search Pipeline – Development,76,Configure server-side vectorization,VectorizableTextQuery so API never calls embeddings directly,Done,search_index.py uses VectorizableTextQuery
Search Pipeline – Development,77,Configure semantic reranking,QueryType.SEMANTIC with hods-index-semantic-configuration,Done,search_index.py
Search Pipeline – Development,78,Configure extractive answers/captions,QueryAnswerType.EXTRACTIVE + QueryCaptionType.EXTRACTIVE,Done,search_index.py
Integration,79,Connect ingest output to indexer input,Blob container ingest-output used as datasource for AI Search indexer,Done,infra/search-indexer.json datasource container
Integration,80,Connect API to AI Search,SearchClient pointed at search service via env var AZURE_SEARCH_ENDPOINT,Done,search_index.py get_search_client()
Integration,81,Connect API to Azure OpenAI,AzureOpenAI client pointed at AZURE_OPENAI_ENDPOINT,Done,llm.py get_client()
Integration,82,Connect UI to API,VITE_API_BASE_URL build-time env var; Bearer token from MSAL,Done,hydro-one-hods-ui Vite config + API calls
Integration,83,Connect Function App to SharePoint,SHAREPOINT_SITE_URL + CLIENT_ID + CLIENT_SECRET from Key Vault,Done,function_app.py reads env vars; KV refs in Bicep
Integration,84,Connect Function App to Blob Storage,BLOB_STORAGE_CONNECTION_STRING from Key Vault,Done,function_app.py BlobServiceClient
Integration,85,End-to-end smoke test (manual),Trigger ingest → verify blobs → verify index populated → run search query,Not Done,Manual step; requires Azure resources deployed
Integration,86,Verify JWT validation end-to-end,UI obtains token → sends to API → API validates against Entra JWKS,Not Done,Manual step; requires Entra app registration
Testing,87,API unit tests – health endpoint,GET /health returns 200 {"status":"ok"},Done,test_health.py::test_health
Testing,88,API unit tests – /query requires auth,POST /query without token returns 401,Done,test_health.py::test_query_requires_auth
Testing,89,API unit tests – /OptimizeHybridQueries requires auth,POST /OptimizeHybridQueries without token returns 401,Done,test_health.py::test_optimize_requires_auth
Testing,90,API unit tests – filter builder basic,build_filter with prefix and content type produces correct OData,Done,test_health.py::test_filter_builder
Testing,91,API unit tests – filter builder empty,build_filter with no filters returns empty string,Done,test_health.py::test_filter_builder_empty
Testing,92,API unit tests – OData injection prevention,Single quotes in filter values are escaped,Done,test_health.py::test_filter_odata_injection
Testing,93,Ingest unit tests – parse_last_sync None,None input returns epoch datetime,Done,test_ingest.py::TestParseLastSync::test_none_returns_epoch
Testing,94,Ingest unit tests – parse_last_sync empty string,Empty string returns epoch datetime,Done,test_ingest.py::TestParseLastSync::test_empty_string_returns_epoch
Testing,95,Ingest unit tests – parse_last_sync ISO8601 Z,ISO8601 with Z suffix parses correctly,Done,test_ingest.py::TestParseLastSync::test_iso8601_z
Testing,96,Ingest unit tests – parse_last_sync offset,ISO8601 with +00:00 suffix parses correctly,Done,test_ingest.py::TestParseLastSync::test_iso8601_offset
Testing,97,Ingest unit tests – parse_last_sync legacy format,Space-separated datetime parses correctly,Done,test_ingest.py::TestParseLastSync::test_legacy_format
Testing,98,Ingest unit tests – parse_last_sync unrecognised,Bad string returns epoch datetime,Done,test_ingest.py::TestParseLastSync::test_unrecognized_returns_epoch
Testing,99,Ingest unit tests – blob name simple,Simple filename returns unchanged,Done,test_ingest.py::TestToBlobName::test_simple_name
Testing,100,Ingest unit tests – blob name strips path,Path prefix stripped from filename,Done,test_ingest.py::TestToBlobName::test_strips_path
Testing,101,Ingest unit tests – blob name replaces spaces,Spaces replaced with underscores,Done,test_ingest.py::TestToBlobName::test_replaces_spaces
Testing,102,Ingest unit tests – blob name empty,Empty name returns 'file',Done,test_ingest.py::TestToBlobName::test_empty_becomes_file
Testing,103,Ingest unit tests – metadata string,String value returned as-is,Done,test_ingest.py::TestToBlobMetadataValue::test_string
Testing,104,Ingest unit tests – metadata None,None returns empty string,Done,test_ingest.py::TestToBlobMetadataValue::test_none
Testing,105,Ingest unit tests – metadata list of lookups,List of LookupValue dicts joined to string,Done,test_ingest.py::TestToBlobMetadataValue::test_list_of_lookups
Testing,106,Ingest unit tests – metadata dict lookup,Single LookupValue dict returns value,Done,test_ingest.py::TestToBlobMetadataValue::test_dict_lookup
Testing,107,Ingest unit tests – metadata non-ASCII,Non-ASCII chars stripped to ASCII,Done,test_ingest.py::TestToBlobMetadataValue::test_non_ascii_stripped
Testing,108,UI component tests,Jest/Vitest tests for SearchBar ResultsList FilterPanel,Not Done,No test files in hydro-one-hods-ui
Testing,109,Integration tests,End-to-end test hitting real or emulated Azure services,Not Done,Not implemented
Testing,110,Load / performance tests,k6 or locust test to verify autoscale triggers,Not Done,Not implemented
Deployment – CI/CD,111,Create Azure DevOps project,Create new org and project in dev.azure.com,Not Done,Manual step – requires human login
Deployment – CI/CD,112,Create Workload Identity Federation service connection,OIDC service connection named hods-azure-service-connection,Not Done,Manual step – see azure-pipelines/README.md step 2
Deployment – CI/CD,113,Register infra pipeline,azure-pipelines/infra.yml – Validate + Deploy stages,Done,Pipeline YAML written; registration is manual step
Deployment – CI/CD,114,Register API pipeline,azure-pipelines/api.yml – CI (lint+test+coverage) + Deploy,Done,Pipeline YAML written; registration is manual step
Deployment – CI/CD,115,Register ingest pipeline,azure-pipelines/ingest.yml – CI + Deploy Azure Function,Done,Pipeline YAML written; registration is manual step
Deployment – CI/CD,116,Register UI pipeline,azure-pipelines/ui.yml – CI (npm build) + Deploy Static Web App,Done,Pipeline YAML written; registration is manual step
Deployment – CI/CD,117,Set pipeline variables,API_APP_NAME FUNCTION_APP_NAME API_APP_URL STATIC_WEB_APP_TOKEN,Not Done,Manual step – set in Azure DevOps pipeline settings
Deployment – CI/CD,118,Create production environment with approval gate,Environment named 'production' with manual approval required before deploy,Not Done,Manual step – see azure-pipelines/README.md step 5
Deployment – CI/CD,119,Enable branch policy on main,Require PR + passing CI before merge to main,Not Done,Manual step – see azure-pipelines/README.md step 6
Deployment – Azure,120,Run deploy.ps1,az login; execute scripts/deploy.ps1 to provision all Azure resources,Not Done,Manual step – requires Azure subscription
Deployment – Azure,121,Store SharePoint credentials in Key Vault,Set SHAREPOINT_CLIENT_ID and SHAREPOINT_CLIENT_SECRET secrets in KV,Not Done,Manual step – see SETUP.md step 5
Deployment – Azure,122,Register Entra ID app for SharePoint access,App registration with Sites.Read.All permission; client secret,Not Done,Manual step – see SETUP.md step 3
Deployment – Azure,123,Register Entra ID app for UI/API auth,App registration exposing API scope; SPA redirect URIs,Not Done,Manual step – see SETUP.md step 3
Deployment – Azure,124,Deploy ingest Function App,az functionapp deployment via pipeline or manual zip deploy,Not Done,Automated via azure-pipelines/ingest.yml once pipeline registered
Deployment – Azure,125,Deploy API App Service,az webapp deployment via pipeline,Not Done,Automated via azure-pipelines/api.yml once pipeline registered
Deployment – Azure,126,Deploy UI to Static Web App,Azure Static Web Apps action via pipeline,Not Done,Automated via azure-pipelines/ui.yml once pipeline registered
Deployment – Azure,127,Trigger first ingest run,Manually trigger timer function or wait for schedule to sync SharePoint docs,Not Done,Manual step – see SETUP.md step 9
Deployment – Azure,128,Verify search index populated,Check AI Search index document count > 0 after first ingest run,Not Done,Manual step – use Azure Portal or search explorer
Deployment – Azure,129,Run end-to-end acceptance test,Open UI; authenticate; perform a search; verify results returned,Not Done,Manual step – final acceptance sign-off
